deliver_date_cet,se3_sek,se4_sek
2023-01-01,203.81,203.81
2023-01-02,1377.8,1377.8
2023-01-03,1483.32,1483.32
2023-01-04,816.87,816.87
2023-01-05,1249.35,1249.35
2023-01-06,1184.26,1184.26
2023-01-07,847.33,853.05
2023-01-08,432.51,432.51
2023-01-09,1327.45,1370.03
2023-01-10,1310.91,1314.17
2023-01-11,635.85,694.17
2023-01-12,657.45,657.45
2023-01-13,770.39,770.39
2023-01-14,622.52,622.52
2023-01-15,201.85,201.85
2023-01-16,896.99,897.52
2023-01-17,699.41,699.41
2023-01-18,1031.7,1074.81
2023-01-19,1493.52,1493.52
2023-01-20,1432.39,1896.78
2023-01-21,1316.02,1426.85
2023-01-22,1140.46,1382.32
2023-01-23,1657.91,2107.03
2023-01-24,1273.15,1957.21
2023-01-25,270.11,963.66
2023-01-26,1102.4,1484.22
2023-01-27,1440.69,1758.15
2023-01-28,366.02,541.73
2023-01-29,341.14,341.14
2023-01-30,257.9,257.9
2023-01-31,857.84,857.84
2023-02-01,1048.25,1048.25
2023-02-02,1522.88,1528.54
2023-02-03,1144.38,1144.38
2023-02-04,1339.87,1481.96
2023-02-05,977.16,1188.48
2023-02-06,1577.34,1826.93
2023-02-07,790.69,1878.4
2023-02-08,653.2,1157.85
2023-02-09,246.12,246.12
2023-02-10,499.09,535.33
2023-02-11,615.14,642.09
2023-02-12,292.67,347.72
2023-02-13,551.55,738.31
2023-02-14,1387.83,1560.07
2023-02-15,1087.99,1422.8
2023-02-16,491.86,1225.89
2023-02-17,517.27,530.94
2023-02-18,388.86,388.86
2023-02-19,702.98,702.98
2023-02-20,501.84,501.84
2023-02-21,1139.98,1145.8
2023-02-22,1257.56,1408.35
2023-02-23,949.04,1098.97
2023-02-24,822.92,822.92
2023-02-25,336.09,336.09
2023-02-26,849.46,876.44
2023-02-27,912.56,1577.89
2023-02-28,506.28,1417.44
2023-03-01,902.59,1436.06
2023-03-02,266.95,1350.68
2023-03-03,516.69,834.35
2023-03-04,727.37,854.5
2023-03-05,1314.21,1321.77
2023-03-06,1674.15,1678.63
2023-03-07,1107.89,1107.89
2023-03-08,1479.37,1481.1
2023-03-09,1444.38,1447.57
2023-03-10,1306.97,1306.97
2023-03-11,1041.49,1041.49
2023-03-12,862.32,868.96
2023-03-13,463.51,463.51
2023-03-14,650.53,650.53
2023-03-15,975.37,975.37
2023-03-16,915.59,996.44
2023-03-17,333.24,333.24
2023-03-18,340.96,340.96
2023-03-19,588.74,735.43
2023-03-20,910.02,1085.75
2023-03-21,832.21,1070.24
2023-03-22,488.59,488.59
2023-03-23,386.29,386.29
2023-03-24,450.51,450.51
2023-03-25,317.55,317.55
2023-03-26,550.97,550.97
2023-03-27,689.29,748.69
2023-03-28,870.32,955.86
2023-03-29,1152.27,1287.17
2023-03-30,793.14,946.88
2023-03-31,628.13,924.37
2023-04-01,474.68,474.68
2023-04-02,583.14,583.14
2023-04-03,1146.61,1146.61
2023-04-04,1295.19,1366.21
2023-04-05,1222.67,1442.72
2023-04-06,1048.71,1087.14
2023-04-07,643.39,643.39
2023-04-08,613.32,613.32
2023-04-09,593.49,593.49
2023-04-10,331.67,331.67
2023-04-11,349.22,457.28
2023-04-12,447.57,447.57
2023-04-13,205.87,326.05
2023-04-14,373.4,531.7
2023-04-15,472.06,472.06
2023-04-16,820.73,820.73
2023-04-17,1133.85,1194.64
2023-04-18,966.95,967.99
2023-04-19,637.64,637.64
2023-04-20,581.88,584.29
2023-04-21,668.85,836.34
2023-04-22,402.23,402.23
2023-04-23,415.9,551.67
2023-04-24,755.08,953.06
2023-04-25,440.92,464.81
2023-04-26,645.53,645.53
2023-04-27,1182.76,1203.87
2023-04-28,1146.94,1156.4
2023-04-29,735.6,771.62
2023-04-30,273.56,451.59
2023-05-01,578.54,578.54
2023-05-02,980.08,1077.62
2023-05-03,597.18,943.66
2023-05-04,993.61,1088.98
2023-05-05,934.84,934.84
2023-05-06,809.88,809.88
2023-05-07,653.46,596.22
2023-05-08,758.1,770.35
2023-05-09,225.52,225.52
2023-05-10,88.49,88.49
2023-05-11,231.02,681.38
2023-05-12,531.57,943.43
2023-05-13,233.4,856.77
2023-05-14,94.28,807.63
2023-05-15,432.28,1272.4
2023-05-16,441.54,623.3
2023-05-17,90.25,311.09
2023-05-18,314.89,975.46
2023-05-19,258.51,991.17
2023-05-20,91.02,528.54
2023-05-21,138.93,352.82
2023-05-22,395.69,981.94
2023-05-23,358.99,779.51
2023-05-24,178.48,1127.22
2023-05-25,218.33,642.57
2023-05-26,169.76,609.79
2023-05-27,64.15,715.43
2023-05-28,123.08,474.35
2023-05-29,190.76,340.88
2023-05-30,588.82,1001.15
2023-05-31,330.51,654.32
2023-06-01,429.59,766.99
2023-06-02,279.26,931.45
2023-06-03,191.04,647.54
2023-06-04,121.06,614.21
2023-06-05,61.51,1043.69
2023-06-06,214.31,1122.65
2023-06-07,324.43,1162.94
2023-06-08,283.62,980.31
2023-06-09,404.03,700.51
2023-06-10,287.26,287.26
2023-06-11,117.53,431.79
2023-06-12,363.33,1100.46
2023-06-13,508.86,1043.95
2023-06-14,762.35,1198.94
2023-06-15,721.25,1387.3
2023-06-16,748.25,1482.03
2023-06-17,603.61,1212.19
2023-06-18,525.29,1070.9
2023-06-19,903.38,1354.62
2023-06-20,721.21,1410.2
2023-06-21,679.59,1389.05
2023-06-22,560.56,1250.96
2023-06-23,135.17,1199.75
2023-06-24,264.35,616.61
2023-06-25,443.34,665.97
2023-06-26,879.08,1047.42
2023-06-27,939.3,984.53
2023-06-28,1277.33,1284.43
2023-06-29,1283.39,1387.85
2023-06-30,883.37,1241.74
2023-07-01,350.85,404.83
2023-07-02,38.66,38.66
2023-07-03,352.11,352.11
2023-07-04,485.65,575.94
2023-07-05,564.66,675.79
2023-07-06,647.21,647.21
2023-07-07,747.14,747.14
2023-07-08,579.85,579.85
2023-07-09,656.27,656.27
2023-07-10,811.94,879.95
2023-07-11,651.62,994.83
2023-07-12,455.7,755.08
2023-07-13,529.51,674.22
2023-07-14,490.91,490.91
2023-07-15,212.04,212.04
2023-07-16,-95.55,-95.55
2023-07-17,56.99,56.99
2023-07-18,195.69,338.66
2023-07-19,338.94,345.77
2023-07-20,316.75,316.75
2023-07-21,314.07,314.07
2023-07-22,269.09,269.09
2023-07-23,164.95,177.26
2023-07-24,315.66,315.66
2023-07-25,298.75,298.75
2023-07-26,339.48,339.48
2023-07-27,382.01,382.01
2023-07-28,386.49,386.49
2023-07-29,217.56,217.56
2023-07-30,214.31,214.31
2023-07-31,382.4,382.4
2023-08-01,347.18,347.18
2023-08-02,295.13,748.92
2023-08-03,245.87,434.06
2023-08-04,242.61,506.0
2023-08-05,167.44,167.44
2023-08-06,130.75,130.75
2023-08-07,4.04,4.04
2023-08-08,-53.16,-53.16
2023-08-09,28.22,28.22
2023-08-10,176.21,176.21
2023-08-11,209.67,209.67
2023-08-12,138.57,138.57
2023-08-13,152.98,152.98
2023-08-14,287.22,621.47
2023-08-15,254.11,425.56
2023-08-16,194.45,765.97
2023-08-17,187.81,592.45
2023-08-18,256.31,256.31
2023-08-19,184.23,184.23
2023-08-20,359.92,359.92
2023-08-21,288.28,554.34
2023-08-22,281.92,648.34
2023-08-23,291.37,541.7
2023-08-24,982.37,1252.73
2023-08-25,856.72,856.72
2023-08-26,236.27,236.27
2023-08-27,423.63,423.63
2023-08-28,1178.72,1178.72
2023-08-29,759.64,1118.53
2023-08-30,1222.32,1222.32
2023-08-31,1126.28,1126.28
2023-09-01,509.63,580.85
2023-09-02,241.59,288.0
2023-09-03,222.12,397.19
2023-09-04,142.9,815.61
2023-09-05,110.22,475.05
2023-09-06,510.26,979.87
2023-09-07,555.61,697.14
2023-09-08,974.66,974.66
2023-09-09,124.47,124.47
2023-09-10,130.19,130.19
2023-09-11,718.6,836.4
2023-09-12,120.53,1244.07
2023-09-13,762.95,1216.25
2023-09-14,1022.36,1216.4
2023-09-15,298.17,1286.4
2023-09-16,131.37,1089.26
2023-09-17,116.99,486.06
2023-09-18,97.45,97.45
2023-09-19,1.3,1.3
2023-09-20,21.93,32.8
2023-09-21,17.12,17.12
2023-09-22,10.47,469.88
2023-09-23,34.6,34.6
2023-09-24,27.81,258.23
2023-09-25,-0.78,-0.78
2023-09-26,92.94,990.05
2023-09-27,125.8,485.73
2023-09-28,134.19,134.19
2023-09-29,43.59,43.59
2023-09-30,-2.32,-2.32
2023-10-01,9.23,9.23
2023-10-02,208.95,208.95
2023-10-03,51.56,51.56
2023-10-04,18.47,18.47
2023-10-05,140.6,140.6
2023-10-06,51.93,51.93
2023-10-07,-14.12,-14.12
2023-10-08,25.8,25.8
2023-10-09,1011.57,1011.57
2023-10-10,654.43,654.43
2023-10-11,-14.41,-14.41
2023-10-12,-35.36,-35.36
2023-10-13,128.96,128.96
2023-10-14,-23.62,-23.62
2023-10-15,-29.28,-29.28
2023-10-16,245.98,245.98
2023-10-17,529.65,529.65
2023-10-18,547.74,669.64
2023-10-19,96.21,96.21
2023-10-20,119.11,119.11
2023-10-21,106.84,106.84
2023-10-22,347.02,356.3
2023-10-23,965.42,1230.72
2023-10-24,550.91,746.87
2023-10-25,433.14,433.14
2023-10-26,601.14,853.05
2023-10-27,1027.63,1071.87
2023-10-28,797.8,802.85
2023-10-29,369.37,369.37
2023-10-30,694.65,694.65
2023-10-31,629.93,632.04
2023-11-01,524.95,527.93
2023-11-02,506.28,521.69
2023-11-03,178.29,178.29
2023-11-04,89.61,89.61
2023-11-05,272.92,279.23
2023-11-06,740.19,740.19
2023-11-07,971.87,971.87
2023-11-08,757.73,757.73
2023-11-09,527.24,527.24
2023-11-10,508.44,542.92
2023-11-11,297.3,486.32
2023-11-12,341.6,456.31
2023-11-13,810.35,861.9
2023-11-14,762.95,762.95
2023-11-15,1190.97,1190.97
2023-11-16,1331.61,1331.61
2023-11-17,1345.77,1347.04
2023-11-18,1025.4,1026.41
2023-11-19,729.45,729.45
2023-11-20,1206.86,1206.86
2023-11-21,1397.72,1398.78
2023-11-22,486.21,660.62
2023-11-23,298.03,298.03
2023-11-24,200.11,271.96
2023-11-25,827.14,828.72
2023-11-26,1306.08,1306.32
2023-11-27,1270.69,1271.13
2023-11-28,1313.5,1325.76
2023-11-29,1527.93,1609.02
2023-11-30,1892.09,1907.63
2023-12-01,1676.82,1804.88
2023-12-02,1297.76,1302.31
2023-12-03,1184.36,1184.36
2023-12-04,1722.62,1722.62
2023-12-05,1808.15,1808.15
2023-12-06,1479.81,1483.65
2023-12-07,1298.72,1312.01
2023-12-08,1118.65,1127.03
2023-12-09,745.07,819.05
2023-12-10,695.57,695.57
2023-12-11,961.52,962.19
2023-12-12,1365.42,1365.94
2023-12-13,1168.43,1168.43
2023-12-14,1349.71,1349.71
2023-12-15,990.76,990.76
2023-12-16,180.65,180.65
2023-12-17,45.59,45.59
2023-12-18,178.61,178.61
2023-12-19,196.73,301.89
2023-12-20,535.16,535.16
2023-12-21,406.85,406.85
2023-12-22,280.93,280.93
2023-12-23,386.32,386.32
2023-12-24,430.38,430.38
2023-12-25,353.64,345.47
2023-12-26,449.94,449.94
2023-12-27,615.33,616.13
2023-12-28,399.97,399.97
2023-12-29,308.54,308.54
2023-12-30,455.06,455.06
2023-12-31,457.17,457.17
2024-01-01,438.91,438.91
2024-01-02,648.5,648.5
2024-01-03,657.68,657.68
2024-01-04,989.78,989.78
2024-01-05,2172.08,2172.08
2024-01-06,1052.36,1052.36
2024-01-07,998.71,998.71
2024-01-08,1163.0,1167.0
2024-01-09,1046.47,1227.69
2024-01-10,833.42,1208.81
2024-01-11,957.4,1078.09
2024-01-12,1139.88,1173.69
2024-01-13,691.66,764.17
2024-01-14,853.22,853.22
2024-01-15,981.32,981.32
2024-01-16,1566.54,1566.54
2024-01-17,1093.63,1094.1
2024-01-18,1027.81,1031.19
2024-01-19,929.36,929.36
2024-01-20,846.08,846.08
2024-01-21,463.83,463.83
2024-01-22,305.78,305.78
2024-01-23,382.3,382.3
2024-01-24,444.07,444.07
2024-01-25,862.55,863.66
2024-01-26,571.39,572.59
2024-01-27,201.38,227.07
2024-01-28,142.54,314.01
2024-01-29,554.43,643.27
2024-01-30,669.79,745.36
2024-01-31,205.74,205.74
2024-02-01,80.61,80.61
2024-02-02,256.97,256.97
2024-02-03,10.9,10.9
2024-02-04,152.84,152.84
2024-02-05,499.12,499.12
2024-02-06,690.06,690.06
2024-02-07,924.33,924.33
2024-02-08,1000.38,1000.38
2024-02-09,777.71,777.71
2024-02-10,749.27,749.27
2024-02-11,667.74,667.74
2024-02-12,813.69,823.59
2024-02-13,778.44,788.82
2024-02-14,693.84,761.37
2024-02-15,735.19,791.54
2024-02-16,369.39,414.36
2024-02-17,215.6,443.4
2024-02-18,435.43,514.28
2024-02-19,705.2,712.84
2024-02-20,627.45,654.9
2024-02-21,525.58,548.31
2024-02-22,409.94,525.76
2024-02-23,38.12,38.12
2024-02-24,347.41,347.41
2024-02-25,455.59,458.08
2024-02-26,629.03,735.55
2024-02-27,624.32,818.17
2024-02-28,237.11,735.73
2024-02-29,148.62,148.62
2024-03-01,349.7,418.15
2024-03-02,507.99,507.99
2024-03-03,610.39,610.39
2024-03-04,724.55,724.55
2024-03-05,701.18,701.18
2024-03-06,892.39,899.63
2024-03-07,818.5,850.89
2024-03-08,739.62,749.61
2024-03-09,586.25,586.25
2024-03-10,462.67,385.02
2024-03-11,638.58,642.41
2024-03-12,837.36,955.42
2024-03-13,626.84,730.28
2024-03-14,236.46,403.33
2024-03-15,373.31,406.69
2024-03-16,368.59,368.59
2024-03-17,553.52,565.79
2024-03-18,679.3,877.95
2024-03-19,657.22,898.17
2024-03-20,799.77,967.44
2024-03-21,841.65,907.64
2024-03-22,535.2,535.2
2024-03-23,400.78,400.78
2024-03-24,562.73,562.73
2024-03-25,962.94,962.94
2024-03-26,711.97,717.4
2024-03-27,548.64,576.44
2024-03-28,441.47,461.08
2024-03-29,278.82,278.82
2024-03-30,471.73,471.73
2024-03-31,513.38,513.38
2024-04-01,320.89,331.46
2024-04-02,327.06,397.01
2024-04-03,527.53,822.39
2024-04-04,716.39,737.51
2024-04-05,546.63,581.32
2024-04-06,503.7,507.26
2024-04-07,49.05,49.05
2024-04-08,426.75,696.93
2024-04-09,515.09,575.88
2024-04-10,14.9,14.9
2024-04-11,91.6,91.6
2024-04-12,269.03,272.19
2024-04-13,49.49,94.03
2024-04-14,49.17,-64.33
2024-04-15,444.72,609.9
2024-04-16,597.82,677.34
2024-04-17,915.94,1161.71
2024-04-18,1030.93,1112.82
2024-04-19,631.69,685.36
2024-04-20,452.73,677.01
2024-04-21,707.06,745.36
2024-04-22,1115.53,1120.98
2024-04-23,1134.76,1134.76
2024-04-24,1121.09,1121.09
2024-04-25,1056.42,1056.42
2024-04-26,985.64,987.82
2024-04-27,784.61,744.13
2024-04-28,411.42,285.93
2024-04-29,558.08,848.61
2024-04-30,538.44,658.94
2024-05-01,251.25,234.0
2024-05-02,290.56,264.7
2024-05-03,405.01,534.08
2024-05-04,307.36,659.34
2024-05-05,287.94,573.52
2024-05-06,563.19,834.79
2024-05-07,793.77,830.33
2024-05-08,951.02,951.02
2024-05-09,195.58,212.78
2024-05-10,164.31,594.49
2024-05-11,205.59,614.66
2024-05-12,134.34,248.42
2024-05-13,294.77,354.26
2024-05-14,91.36,211.57
2024-05-15,130.46,203.29
2024-05-16,147.79,155.88
2024-05-17,87.31,87.31
2024-05-18,68.79,160.99
2024-05-19,66.21,269.47
2024-05-20,162.09,660.85
2024-05-21,270.24,355.43
2024-05-22,116.84,116.84
2024-05-23,43.43,432.67
2024-05-24,233.58,999.48
2024-05-25,105.62,795.26
2024-05-26,30.33,654.59
2024-05-27,51.24,689.58
2024-05-28,75.03,701.62
2024-05-29,326.52,472.83
2024-05-30,291.34,832.74
2024-05-31,208.39,972.35
2024-06-01,183.09,653.4
2024-06-02,97.61,279.54
2024-06-03,219.4,1037.1
2024-06-04,201.89,813.37
2024-06-05,77.71,445.55
2024-06-06,152.8,877.8
2024-06-07,321.83,922.18
2024-06-08,155.85,278.92
2024-06-09,-8.88,-8.88
2024-06-10,325.34,520.18
2024-06-11,634.33,713.59
2024-06-12,535.43,664.32
2024-06-13,544.59,768.5
2024-06-14,424.8,424.8
2024-06-15,160.85,182.46
